author,paper_count
Durai Rajamanickam,6
Michael J. Daniels,6
Antonio Linero,6
Jason Roy,6
Giovanni Birolo,4
Momiao Xiong,4
Piero Fariselli,4
Cesare Rollo,4
Panu Looareesuwan,3
Riccardo Fusaroli,3
Wen Wei Loh,3
Melvyn Weeks,3
David Collett,3
Ivan Rossi,3
Peng Lu,3
Tiziana Sanavia,3
Dongning Ren,3
George H. Chen,3
Daniele Giardiello,3
Annette Rudolph,3
Andreas Bender,3
Elena Rocca,3
Simon Wiegrebe,3
Hyosub E. Kim,3
Romeo Chua,3
Michele Fusaroli,3
Aboozar Hadavand,3
Sophie Hanna Langbein,3
Joseph Mitchell,3
Davin Hu,3
Lars Louis Andersen,2
Jonas Vinstrup,2
Rúni Bláfoss,2
Rubén López-Bueno,2
Zhao Chen,2
Léa Orsini,2
Johannes Piller,2
Guido Gentile,2
Shishun Zhao,2
Anna Leshchenko,2
Thomas Clausen,2
George Marinos,2
Juan Jose Lozano,2
Abhi Desai,2
Bilal Farooq,2
Yu Rang Park,2
Yu Deng,2
Donglin Zeng,2
Kasun Bandara,2
Gianluca Bontempi,2
