venue,paper_count
,256
arXiv,112
SSRN Electronic Journal,16
CRAN: Contributed Packages,11
International Journal of Science and Research (IJSR),8
Journal of Causal Inference,7
Bayesian Nonparametrics for Causal Inference and Missing Data,6
International Journal For Multidisciplinary Research,6
International Journal of Research Publication and Reviews,5
Lifetime Data Analysis,5
Causal Inference for Machine Learning Engineers,5
International Research Journal of Modernization in Engineering Technology and Science,5
Machine Learning for Causal Inference,4
IEEE Access,4
Journal of Marketing Analytics,4
Modelling Survival Data in Medical Research,3
Concept of Customer Lifetime Value,3
"Cause, Effect, and Everything in Between",3
Mathematics,3
Expert Systems with Applications,3
Survival Analysis,3
Causal Inference,3
Heliyon,3
Agent‐based Models and Causal Inference,3
International Journal of Innovative Research in Computer Science &amp; Technology,3
Applied Sciences,3
Artificial Intelligence and Causal Inference,3
Applied and Computational Engineering,3
Advances in Neural Information Processing Systems 36,2
IEEE Journal of Biomedical and Health Informatics,2
